product_name,product_code
Board - Short + Logo Grafir,BRD-SHT-GRF
Board - Long + Logo Grafir,BRD-LNG-GRF
Plate 24 + Logo Grafir,PLT-24-GRF
Cutlery Case + Logo Grafir,CTL-CSE-GRF
Measuring Spoon 2,MSP-002
KWAS Curved Spatula KW-T304 31x6cm (Oval Cekung),KW-T304
KWAS Server Spoon KW-T102 25x6cm (Takar Beras),KW-T102
KWAS Spoon KW-T202 23x4cm (Sendok Peyang),KW-T202
KWAS Turner KW-T206 32x6.5cm (Sendok Tumpeng),KW-T206
KWAS Turner KW-T106 30x5cm (Sendok Pecel),KW-T106
Sendok Panjang,SDK-PJG
Sendok Takar Tepung,SDK-TKR-TPG
Sendok Kayu,SDK-KYU
Garpu Kayu,GRP-KYU
Streiner Spoon,STR-SPN
Telenan Gagang,TLN-GGNG
Nampan Panjang,NMP-PJG
Lumpang + Penumbuk Set,LMP-SET
Talenan Besar 45x28,TLN-BSR-4528
Talenan Round (Lubang Tengah),TLN-RND-LBG
Sendok Soup,SDK-SOP
Cutting Board 40x25,CTB-4025
Tray Anyaman Bambu 40/20,TRY-BMB-4020
Talenan Lubang Oval,TLN-LBG-OVL
Telenan Jepang Versi MR DIY,TLN-JPN-DIY
Sutil Kayu Lengkung,STL-LKG
Sendok Kayu Nasi,SDK-NASI
Sutil Kayu Panjang,STL-PJG
Sendok Kayu Oval,SDK-OVL
Sutil Kayu Besar,STL-BSR
Penjapit Kayu,PJP-KYU
Sumpit Kayu,SMP-KYU
FSS Teakwood Rolling Pin - Brown,FSS-RLP-BRN
Gelas Kayu D8/10,GLS-D810
"Mangkok Kayu D15/8,5",MGK-D1585
"Mangkok Kayu D14,5/5",MGK-D1455
FSC Teak Wood Spatula - Natural - Set of 3,FSC-SPT-SET3
Vintage Wooden Plate 20cm,VNT-PLT-20
Retro Teakwood Bowl D10,RET-BWL-D10
Old Model Spatula Wood,OLD-SPT-WD
Discontinued Bamboo Tray 30x15,DIS-TRY-3015
Legacy Teakwood Cup D6/8,LEG-CUP-D68
Classic Wooden Chopsticks Set,CLS-CHP-SET
Old Version Cutting Board Small,OLD-CTB-SML
Wooden Salad Fork Legacy,SLD-FRK-LEG
Rustic Teakwood Coaster Set,RST-CST-SET
Obsolete Wooden Mortar Mini,OBS-MRT-MN
